699 100
1 2 2
1 2 6
1 3 1
2 1 0
2 1 1
2 2 2
2 3 0
2 3 3
2 3 4
2 4 6
2 5 1
3 1 0
3 1 1
3 1 2
3 1 4
3 2 4
3 3 1
3 4 2
3 4 5
3 5 3
4 1 2
4 2 0
4 2 6
4 3 2
4 4 6
4 5 5
5 1 1
5 1 3
5 1 4
5 1 5
5 2 6
5 3 1
5 3 2
5 3 3
5 3 4
5 4 6
5 5 1
5 5 2
5 5 6
6 1 0
6 1 2
6 1 5
6 2 1
6 2 2
6 3 1
6 3 4
6 4 0
6 4 6
7 3 1
7 4 2
7 4 5
7 4 6
7 5 0
7 5 2
8 1 6
8 3 1
8 4 1
8 4 2
8 5 1
8 5 6
9 1 2
9 1 3
9 2 2
9 2 4
9 3 6
9 4 2
9 4 4
10 1 1
10 1 2
10 1 4
10 2 2
10 2 3
10 4 1
10 4 2
10 4 3
10 5 0
10 5 2
11 1 1
11 1 2
11 1 3
11 2 0
11 2 1
11 2 5
11 3 1
11 3 2
11 5 0
12 1 4
12 1 5
12 1 6
12 2 0
12 2 4
12 4 2
12 4 5
13 1 0
13 1 2
13 2 3
13 2 6
13 3 0
14 1 5
14 2 2
14 2 4
14 3 6
14 4 0
14 4 5
14 5 1
14 5 3
14 5 4
15 1 4
15 2 0
15 2 2
15 4 0
15 4 1
15 4 3
15 5 2
15 5 3
16 1 3
16 2 3
16 2 6
16 4 0
16 4 1
16 4 5
16 5 2
16 5 5
17 1 2
17 1 3
17 1 5
17 2 0
17 2 6
17 4 4
17 4 5
17 5 0
18 1 4
18 2 1
18 3 4
18 4 5
18 5 6
19 1 2
19 2 1
19 2 5
19 3 0
19 3 3
19 3 4
19 4 3
19 4 6
19 5 6
20 2 1
20 2 6
20 3 5
20 4 0
20 5 0
20 5 1
21 1 2
21 1 3
21 1 5
21 2 0
21 2 6
21 3 4
21 3 5
21 5 6
22 1 3
22 1 5
22 2 5
22 3 5
22 4 6
23 1 3
23 1 6
23 5 5
24 1 0
24 1 1
24 1 2
24 1 4
24 1 5
24 2 4
24 2 5
24 4 0
24 4 2
24 5 1
24 5 2
25 2 1
25 3 6
25 4 3
25 5 1
25 5 4
26 1 1
26 1 4
26 1 5
26 4 2
26 5 6
27 1 0
27 1 2
27 1 6
27 2 3
27 2 6
27 3 5
27 4 1
27 5 3
27 5 5
27 5 6
28 1 4
28 1 6
28 3 0
28 3 4
28 5 4
